country,region,continent,code,education,employment ,unemployment,income,homicide,mortality ,life,pollution,vote,broadband,rooms,social ,satisfaction
Ireland,"Border, Midland and Western",British Isles,IE01,81.3,32.2,8.0,15759,0.5,7.5,81.8,6.4,64.6,83.0,2.2,96.0,7.2
France,Corsica,Western Europe,FRM,0.0,35.3,7.9,18670,3.6,6.2,83.9,11.3,68.0,64.0,1.7,98.2,7.3
Italy,Sicily,Southern Europe,ITG1,60.6,40.5,21.9,14095,8.5,7.1,82.4,12.5,62.7,74.0,1.7,86.3,5.9
Italy,Calabria,Southern Europe,ITF6,63.1,40.8,22.0,13609,2.4,6.7,82.9,11.4,63.8,69.0,1.7,85.0,5.4
Italy,Apulia,Southern Europe,ITF4,59.2,41.4,19.3,14856,1.1,6.5,83.5,13.4,68.9,74.0,1.6,85.2,5.9
Italy,Campania,Southern Europe,ITF3,61.0,42.0,21.3,13913,1.3,7.5,81.7,17.6,68.2,76.0,1.5,85.8,5.6
Spain,Melilla,Southern Europe,ES64,59.1,47.6,28.0,12481,1.2,7.8,81.2,24.8,47.6,79.0,1.4,100.0,6.1
Greece,West Macedonia,Southeast Europe,EL53,69.2,48.3,29.7,13096,0.4,7.0,81.8,19.8,54.3,62.0,1.5,80.6,4.9
Spain,Ceuta,Southern Europe,ES63,52.2,49.0,22.7,13981,4.7,7.5,81.4,18.7,50.7,88.0,1.4,100.0,6.4
Italy,Basilicata,Southern Europe,ITF5,67.6,49.5,13.1,14580,0.3,6.7,83.1,11.2,71.1,73.0,1.6,90.5,6.4
Greece,West Greece,Southeast Europe,EL63,63.8,50.2,26.8,10738,1.1,7.5,81.2,17.8,59.0,67.0,1.5,85.3,5.9
Greece,Epirus,Southeast Europe,EL54,70.0,50.6,25.2,11800,0.6,6.4,83.4,17.6,59.0,62.0,1.5,80.9,5.1
Spain,Extremadura,Southern Europe,ES43,47.9,51.2,26.4,12193,0.6,6.9,82.6,9.3,68.6,78.0,2.1,95.2,6.7
Italy,Molise,Southern Europe,ITF2,67.0,51.5,14.9,15759,0.3,6.6,83.4,15.6,71.8,75.0,1.8,80.4,5.6
Greece,Central Macedonia,Southeast Europe,EL52,76.2,51.8,23.2,12069,0.4,7.5,81.3,15.3,66.8,62.0,1.5,82.0,5.2
Spain,Andalusia,Southern Europe,ES61,53.1,51.8,25.7,12579,0.8,7.2,82.2,12.7,66.0,81.0,1.8,93.0,6.4
Greece,North Aegean,Southeast Europe,EL41,69.8,52.5,23.1,10738,0.5,7.2,82.2,21.0,47.3,59.0,1.6,68.8,6.0
Greece,East Macedonia - Thrace,Southeast Europe,EL51,63.8,52.9,19.9,11050,0.2,7.8,81.0,17.5,57.3,62.0,1.5,74.7,5.9
Greece,Central Greece,Southeast Europe,EL64,68.5,53.1,21.2,11372,0.4,7.1,81.8,18.0,65.7,67.0,1.5,77.7,4.8
Greece,Thessaly,Southeast Europe,EL61,75.0,54.0,21.3,11661,0.8,7.3,81.9,19.0,65.9,62.0,1.5,81.5,5.3
Spain,Canary Islands,Southern Europe,ES70,59.0,54.4,23.7,13287,1.0,6.8,82.7,14.1,59.1,80.0,1.6,93.4,6.5
Greece,Ionian Islands,Southeast Europe,EL62,66.9,54.5,20.4,14538,1.0,7.8,81.4,17.0,52.7,70.0,1.5,85.5,5.0
Greece,Attica,Southeast Europe,EL30,86.9,55.0,21.8,11372,1.0,7.8,81.0,21.6,69.5,59.0,1.5,79.7,5.2
Belgium,Brussels-Capital Region,Western Europe,BE1,78.8,55.4,15.0,17608,2.2,7.8,81.3,14.3,90.3,84.0,2.1,90.2,6.8
Greece,Peloponnese,Southeast Europe,EL65,70.9,55.7,17.3,11686,1.0,7.0,82.3,18.8,55.4,67.0,1.5,80.6,5.9
Poland,Warminsko-Mazurskie,Central Europe,PL62,90.3,56.0,7.3,11194,1.6,10.0,77.1,18.1,42.3,70.0,0.9,91.6,6.0
Greece,Crete,Southeast Europe,EL43,70.5,56.3,18.0,14538,0.9,7.1,82.2,22.1,68.8,59.0,1.5,85.7,5.9
Greece,South Aegean,Southeast Europe,EL42,67.8,56.6,16.3,10738,0.0,7.3,81.9,23.7,56.0,59.0,1.5,89.6,5.5
Italy,Marche,Southern Europe,ITI3,69.6,56.7,11.0,19930,0.5,6.3,84.0,20.7,77.3,82.0,1.8,87.0,6.0
Italy,Abruzzo,Southern Europe,ITF1,70.2,56.8,12.0,17570,0.8,6.6,83.5,18.3,75.3,81.0,1.8,91.7,6.1
Belgium,Wallonia (Région wallonne),Western Europe,BE3,81.3,57.0,9.8,17869,2.1,8.7,79.8,13.8,87.6,82.0,2.3,90.2,6.8
Poland,Podkarpackie,Central Europe,PL32,95.3,57.5,8.6,10363,0.7,8.8,79.2,20.9,50.4,83.0,0.9,93.8,5.4
Latvia,Latgale,Eastern Europe,LV005,89.2,57.6,18.9,18783,3.9,13.3,72.2,12.1,47.0,68.0,1.3,80.0,6.0
Spain,Castile-La Mancha,Southern Europe,ES42,52.8,57.9,20.9,13416,0.5,6.5,83.6,10.1,71.8,80.0,2.0,96.2,6.3
Spain,Murcia,Southern Europe,ES62,54.7,58.5,18.1,12835,0.8,6.8,82.9,12.4,69.6,85.0,1.9,95.6,6.9
Poland,Zachodniopomorskie,Central Europe,PL42,92.3,58.7,4.7,12675,1.6,9.6,77.7,15.6,45.9,75.0,1.0,92.7,6.6
France,Hauts-de-France,Western Europe,FRE,80.5,59.1,12.1,18165,1.2,7.9,80.7,15.2,78.2,75.0,1.8,90.1,6.5
Poland,Lubelskie,Central Europe,PL31,93.2,59.2,7.3,11075,1.7,9.4,78.2,21.5,49.0,74.0,1.0,93.8,5.7
Spain,Asturias,Southern Europe,ES12,71.6,59.2,13.9,16566,0.6,7.0,82.6,8.3,61.1,81.0,2.1,95.9,6.3
Estonia,Northeast Estonia,Eastern Europe,EE007,92.2,59.7,11.3,5709,4.8,10.9,75.0,8.1,55.0,81.2,1.5,81.4,5.2
Poland,Kujawsko-Pomorskie,Central Europe,PL61,93.7,59.9,5.6,11524,1.1,9.6,77.8,20.5,46.4,71.0,0.9,92.0,5.9
